question,option_a,option_b,option_c,option_d,answer
"What is the hexadecimal equivalent of the decimal number 10?","A","B","C","D","A"
"Which data structure is ideal for implementing a 'undo' feature in a text editor?","Queue","Stack","Array","Linked List","Stack"
"In networking, what does the acronym LAN stand for?","Long Area Network","Local Area Network","Logical Access Node","Land Area Node","Local Area Network"
"What does the HTTP status code '404' indicate?","OK","Moved Permanently","Forbidden","Not Found","Not Found"
"Which of these is a statically-typed programming language?","Python","JavaScript","Java","Ruby","Java"
"What is the term for a function calling itself?","Iteration","Inception","Recursion","Redirection","Recursion"
"In a relational database, what does the 'UPDATE' statement do?","Adds new rows to a table.","Deletes rows from a table.","Modifies existing records in a table.","Queries data from a table.","Modifies existing records in a table."
"What is the main purpose of a file extension like '.jpg' or '.txt'?","To set the file's permissions.","To indicate the type of data in the file.","To store the file's creation date.","To hide the file from the user.","To indicate the type of data in the file."
"In digital logic, which gate produces a 'true' output if at least one of its inputs is 'true'?","AND","NOT","XOR","OR","OR"
"What is 'pseudo-code'?","Code that has been encrypted.","An informal, high-level description of an algorithm's operating principle.","Machine code for a specific CPU.","Code that contains bugs and errors.","An informal, high-level description of an algorithm's operating principle."
"What is the time complexity of accessing an element in a hash table, on average?","O(n)","O(log n)","O(1)","O(n^2)","O(1)"
"In Object-Oriented Programming, 'method overriding' is an example of what concept?","Encapsulation","Abstraction","Inheritance","Polymorphism","Polymorphism"
"What is a 'thread' in the context of an operating system?","A heavyweight process with its own memory.","A hardware component for processing.","A single file within a directory.","The smallest unit of execution within a process that can be scheduled.","The smallest unit of execution within a process that can be scheduled."
"What does JSON stand for?","Java Standard Object Notation","JavaScript Object Notation","Java-Styled Online Notes","JavaScript Ordered Naming","JavaScript Object Notation"
"Which of the following is NOT a valid HTTP request method?","GET","POST","SEND","DELETE","SEND"
"What do ACID properties in a database guarantee?","Performance and speed","Reliability and consistency of transactions","Security and encryption","User accessibility","Reliability and consistency of transactions"
"The process of finding and fixing errors in a program is called:","Compiling","Deploying","Debugging","Refactoring","Debugging"
"Which layer of the OSI model is responsible for routing packets between networks?","Physical Layer","Data Link Layer","Transport Layer","Network Layer","Network Layer"
"What is a 'constructor' in a class?","A method to destroy an object.","A special method to create and initialize an object.","A regular method that returns an integer.","A variable that holds the class name.","A special method to create and initialize an object."
"What does SaaS stand for in cloud computing?","Software as a Security","System as a Service","Software as a Service","System as a Standard","Software as a Service"
"Which search algorithm is generally more efficient for a large, sorted dataset?","Linear Search","Binary Search","Sequential Search","Brute-force Search","Binary Search"
"In a file system, what is the 'root' directory?","The directory with the most files.","The last directory in a path.","The top-level directory in the hierarchy.","A directory that is empty.","The top-level directory in the hierarchy."
"What is the primary function of a computer's BIOS?","To run the operating system.","To perform initial hardware checks and boot the OS.","To provide a graphical user interface.","To manage network connections.","To perform initial hardware checks and boot the OS."
"Which type of malware is designed to replicate itself and spread to other computers?","Trojan","Spyware","Ransomware","Worm","Worm"
